"","Subject","RT_Seconds","Condition","Response"
"580",808,0.609,"Incongruent",1
"581",808,0.717,"Incongruent",1
"582",808,0.835,"Incongruent",1
"583",808,0.567,"Incongruent",1
"584",808,0.47,"Incongruent",1
"585",808,0.474,"Incongruent",1
"586",808,0.784,"Incongruent",1
"587",808,0.487,"Incongruent",1
"588",808,0.488,"Incongruent",1
"589",808,0.55,"Incongruent",1
"590",808,0.453,"Incongruent",1
"591",808,0.706,"Incongruent",1
"592",808,0.557,"Incongruent",1
"593",808,0.488,"Incongruent",1
"594",808,0.689,"Incongruent",1
"595",808,0.591,"Incongruent",1
"596",808,0.584,"Incongruent",1
"597",808,0.564,"Incongruent",1
"598",808,0.637,"Incongruent",1
"599",808,0.621,"Incongruent",1
"600",808,0.602,"Incongruent",1
"601",808,0.494,"Incongruent",1
"602",808,0.531,"Incongruent",1
"603",808,0.508,"Incongruent",1
"604",808,0.605,"Incongruent",1
"605",808,0.509,"Incongruent",1
"606",808,0.798,"Incongruent",1
"607",808,0.621,"Incongruent",1
"608",808,0.524,"Incongruent",1
"609",808,0.481,"Incongruent",1
"610",808,0.594,"Incongruent",1
"611",808,0.597,"Incongruent",1
"612",808,0.734,"Incongruent",1
"613",808,0.545,"Incongruent",1
"614",808,0.503,"Incongruent",1
"615",808,0.656,"Incongruent",1
"616",808,0.589,"Incongruent",1
"617",808,0.427,"Incongruent",1
"618",808,0.529,"Incongruent",1
"619",808,0.509,"Incongruent",1
"620",808,0.543,"Incongruent",1
"621",808,1.128,"Congruent",1
"622",808,0.709,"Congruent",1
"623",808,1.974,"Congruent",1
"624",808,0.801,"Congruent",1
"625",808,0.792,"Congruent",1
"626",808,0.769,"Congruent",1
"627",808,0.742,"Congruent",1
"628",808,0.79,"Congruent",1
"629",808,0.791,"Congruent",1
"630",808,0.851,"Congruent",1
"631",808,0.664,"Congruent",1
"632",808,0.712,"Congruent",1
"633",808,0.672,"Congruent",1
"634",808,0.855,"Congruent",1
"635",808,0.661,"Congruent",1
"636",808,0.656,"Congruent",1
"637",808,0.648,"Congruent",1
"638",808,0.538,"Congruent",1
"639",808,0.516,"Congruent",1
"640",808,0.547,"Congruent",1
"641",808,0.523,"Congruent",1
"642",808,0.632,"Congruent",1
"643",808,0.573,"Congruent",1
"644",808,0.444,"Congruent",1
"645",808,0.563,"Congruent",1
"646",808,0.615,"Congruent",1
"647",808,0.572,"Congruent",1
"648",808,0.505,"Congruent",1
"649",808,0.476,"Congruent",1
"650",808,0.585,"Congruent",1
"651",808,0.604,"Congruent",1
"652",808,0.448,"Congruent",1
"653",808,0.551,"Congruent",1
"654",808,0.554,"Congruent",1
"655",808,0.591,"Congruent",1
"656",808,0.551,"Congruent",1
"657",808,0.508,"Congruent",1
"658",808,0.5,"Congruent",1
"659",808,0.575,"Congruent",1
"660",808,0.599,"Congruent",1
"661",808,0.392,"Congruent",1
"662",808,0.524,"Congruent",1
"663",808,0.437,"Congruent",1
"664",808,0.755,"Congruent",1
"665",808,0.491,"Congruent",1
"666",808,0.484,"Congruent",1
"667",808,0.615,"Congruent",1
"668",808,0.505,"Congruent",1
"669",811,0.858,"Incongruent",1
"670",811,0.616,"Incongruent",1
"671",811,1.43,"Incongruent",1
